name,motor width (mm),motor height (mm),Kv (rms/V),propeller diameter (in),propeller pitch (in),battery (V),min PWM throttle (µs),max PWM throttle (µs),PWM throttle (%),Time (s),PWM throttle signal (µs),Rotation speed (rpm),Thrust (kgf),Torque (N⋅m),Voltage (V),Current (A),Electrical power (W),Mechanical power (W),Motor & ESC efficiency (%),Propeller efficiency (gf/W),Propulsion system efficiency (gf/W)
Hypertrain Blaster 2207 2450Kv Gemfan 5040R,22,7,2450,5,4,11.1,1000,1600,62.3333333333333,94.6579872,1374,15891.9999999997,0.281575918218841,0.027586583561554,11.029484148026,6.1897200870514,68.2694195808515,45.9097674927459,67.2479241432175,6.13324644398019,4.12448091616439
Hypertrain Blaster 2207 2450Kv Gemfan 5040R,22,7,2450,5,4,11.1,1000,1600,65.6666666666667,87.8855157,1394,16343,0.301109402812459,0.029360508421039,11.020137081146,6.6835219764709,73.6533283655612,50.2486004940883,68.2231225786444,5.99239381498564,4.08819817779276
Hypertrain Blaster 2207 2450Kv Gemfan 5040R,22,7,2450,5,4,11.1,1000,1600,69.1666666666667,81.10509195,1415,16932.0000000002,0.321755148828061,0.031134635411456,11.010323352814,7.2723071956635,80.0704537452511,55.2052857575393,68.9458884961214,5.82833952243639,4.01840046831436
Hypertrain Blaster 2207 2450Kv Gemfan 5040R,22,7,2450,5,4,11.1,1000,1600,72.6666666666667,74.37232715,1436,17438.9999999996,0.343279288486394,0.032914575255057,11.000124559402,7.8296406602859,86.1270225185034,60.1088543782039,69.7909350869412,5.7109604240082,3.98573268236046
Hypertrain Blaster 2207 2450Kv Gemfan 5040R,22,7,2450,5,4,11.1,1000,1600,76,67.64609335,1456,17895.9999999997,0.363520970041727,0.034697952932723,10.990319881439,8.3785938262939,92.0834263076199,65.0262100588632,70.6166274065785,5.59037609161997,3.94773505524572
Hypertrain Blaster 2207 2450Kv Gemfan 5040R,22,7,2450,5,4,11.1,1000,1600,79.5,60.89882835,1477,18355.0000000004,0.38378875857923,0.036332689464455,10.980654811859,8.9206892681122,97.9550095369952,69.8361925559788,71.294151147628,5.49555673831438,3.91801052741751
Hypertrain Blaster 2207 2450Kv Gemfan 5040R,22,7,2450,5,4,11.1,1000,1600,82.8333333333334,54.19283645,1497,18739,0.401253456747177,0.03760245406415,10.972990312576,9.3783135890961,102.908144161451,73.7889309854542,71.703684471938,5.43785431484669,3.89914189996134
Hypertrain Blaster 2207 2450Kv Gemfan 5040R,22,7,2450,5,4,11.1,1000,1600,86.3333333333333,47.4435853,1518,19151,0.415492610283298,0.038844479870166,10.965011711121,9.8330877780914,107.819922643253,77.9021394227152,72.2520824657539,5.33351989255055,3.85357919109301
Hypertrain Blaster 2207 2450Kv Gemfan 5040R,22,7,2450,5,4,11.1,1000,1600,89.6666666666667,40.70018005,1538,19537.0000000001,0.427335606700637,0.03991630286472,10.958353395462,10.215476779938,111.944804657697,81.6651574369427,72.9512706611595,5.23277760200979,3.81737775153869
Hypertrain Blaster 2207 2450Kv Gemfan 5040R,22,7,2450,5,4,11.1,1000,1600,93.1666666666667,33.9527209,1559,19894.9999999997,0.441182951961312,0.041382837895297,10.950132894516,10.676167173386,116.905449352646,86.2169849427323,73.749329411205,5.11712340966641,3.77384419977277
Hypertrain Blaster 2207 2450Kv Gemfan 5040R,22,7,2450,5,4,11.1,1000,1600,96.5,27.21771005,1579,20192.0000000003,0.45803984397002,0.042950192381744,10.94142539978,11.167476596832,122.188112088026,90.8182374278547,74.3265738997814,5.04347867721926,3.74864490614309
Hypertrain Blaster 2207 2450Kv Gemfan 5040R,22,7,2450,5,4,11.1,1000,1600,100,20.49321535,1600,20451.0000000004,0.470792488900664,0.043805333184123,10.936121902466,11.510653533936,125.881910224175,93.8145402570844,74.5258314638028,5.01833178109204,3.7399534854711
Gemfan M2306L 2200kv with Gemfan 6030R,23,6,2200,6,3,11.1,1000,1570,0,1.3362997999991,1000,0,4.23850861703232E-05,5.3151685981385E-05,11.304628696442,0.014719920204952,0.166403232358237,0,0,,
Gemfan M2306L 2200kv with Gemfan 6030R,23,6,2200,6,3,11.1,1000,1570,36.3157894736842,151.2943527,1207,6612,0.049136906562773,0.004214369476845,11.29290271759,0.6362279343605,7.18486016894636,2.91805901422809,40.6139986807289,16.8389009006288,6.8389509896306
Gemfan M2306L 2200kv with Gemfan 6030R,23,6,2200,6,3,11.1,1000,1570,39.6491228070175,144.32587575,1226,7613,0.066584772706363,0.007287916290149,11.289525375366,0.8606979739666,9.71687161762204,5.81015640472091,59.7945165209747,11.4600654557699,6.85249073226487
Gemfan M2306L 2200kv with Gemfan 6030R,23,6,2200,6,3,11.1,1000,1570,42.9824561403509,137.33985015,1245,8574.99999999998,0.086057943323734,0.008861684312638,11.283933172226,1.1404546380043,12.8688139211957,7.9575435007582,61.835873527176,10.8146368682163,6.68732517625356
Gemfan M2306L 2200kv with Gemfan 6030R,23,6,2200,6,3,11.1,1000,1570,46.4912280701754,130.2999295,1265,9356.00000000003,0.104972034304018,0.010444263292034,11.279297294617,1.4339340555668,16.1737685136138,10.2328508163111,63.2681913785143,10.2583372110432,6.4902644189362
Gemfan M2306L 2200kv with Gemfan 6030R,23,6,2200,6,3,11.1,1000,1570,49.8245614035088,123.41915875,1284,9954.00000000007,0.12096549282493,0.011573165422089,11.274857034683,1.6910177099705,19.0659829230344,12.0636412933526,63.2731149610862,10.0272786535509,6.34457154992971
Gemfan M2306L 2200kv with Gemfan 6030R,23,6,2200,6,3,11.1,1000,1570,53.1578947368421,116.4670721,1303,10693.9999999996,0.141904622125527,0.013271902335076,11.269587039948,2.0283151614666,22.858274256594,14.8628458965873,65.0217323046587,9.54760771341311,6.20801992891441
Gemfan M2306L 2200kv with Gemfan 6030R,23,6,2200,6,3,11.1,1000,1570,56.4912280701754,109.58393425,1322,11231,0.158599662945491,0.014553654715587,11.264195108414,2.3172600197792,26.1020689797202,17.1166634785136,65.5758878417351,9.26580481906298,6.07613377578282
Gemfan M2306L 2200kv with Gemfan 6030R,23,6,2200,6,3,11.1,1000,1570,59.8245614035088,102.7734335,1341,11829.0000000004,0.177054791279509,0.016206032902777,11.258877010345,2.6507154679298,29.8440794428407,20.0748988671864,67.2659342890274,8.81971024864867,5.93266050033864
Gemfan M2306L 2200kv with Gemfan 6030R,23,6,2200,6,3,11.1,1000,1570,63.1578947368421,95.974833600001,1360,12269.9999999998,0.192893207507895,0.017288727283913,11.254334316254,2.9369094872475,33.0529612260615,22.2144826976485,67.2087518746517,8.68321851709443,5.8358827878878
Gemfan M2306L 2200kv with Gemfan 6030R,23,6,2200,6,3,11.1,1000,1570,66.4912280701754,89.173454000001,1379,12709.0000000004,0.208880690152244,0.018577627548261,11.249480991364,3.2279867434502,36.313175510818,24.7246555174572,68.0872855916759,8.44827504289233,5.75220115602438
Gemfan M2306L 2200kv with Gemfan 6030R,23,6,2200,6,3,11.1,1000,1570,69.8245614035088,82.354504400001,1398,13225,0.226483655328772,0.020045209181315,11.243529872894,3.5674854683876,40.1111294349312,27.7609862725433,69.2101834668542,8.15834326292554,5.64640434012651
Gemfan M2306L 2200kv with Gemfan 6030R,23,6,2200,6,3,11.1,1000,1570,73.1578947368421,75.564247650002,1417,13618.9999999996,0.242043631157174,0.021241444976286,11.23853228569,3.8622423696518,43.4059355664916,30.2940888411486,69.7925029049136,7.98979736364954,5.57627955712182
Gemfan M2306L 2200kv with Gemfan 6030R,23,6,2200,6,3,11.1,1000,1570,76.4912280701754,68.732917900001,1436,13998,0.255866323266753,0.022399021577161,11.233642301559,4.1373168945313,46.4771380813615,32.8339895226149,70.6454632923755,7.79272720089408,5.50520823418259
Gemfan M2306L 2200kv with Gemfan 6030R,23,6,2200,6,3,11.1,1000,1570,79.8245614035088,61.930788450001,1455,14354.9999999998,0.271587453558228,0.023690441714684,11.228062314987,4.4516026687622,49.9828721664244,35.6127058960741,71.2498188929541,7.62613923105931,5.43361039065428
Gemfan M2306L 2200kv with Gemfan 6030R,23,6,2200,6,3,11.1,1000,1570,83.3333333333333,55.135375700001,1475,14761.9999999998,0.28593892768089,0.024842050068907,11.22299955368,4.74792345047,53.2859427655316,38.4026550891206,72.0690168851844,7.44581141635427,5.36612308689135
Gemfan M2306L 2200kv with Gemfan 6030R,23,6,2200,6,3,11.1,1000,1570,86.6666666666667,48.332945250002,1494,15117,0.303239659507222,0.02627020898137,11.217386331558,5.0957184648514,57.1606426570918,41.5870159246925,72.7546332433212,7.2916907540647,5.30504286535694
