,Rotation speed (rpm),Torque (N⋅m),Thrust (kgf),Propeller diameter [in],Propeller pitch [in],Propeller num
2,7331.000000000041,0.0042561556411304,0.0489329011222599,6.0,3.0,1
3,9779.000000000451,0.0088991891381304,0.0923907735137044,6.0,3.0,1
4,11848.999999999536,0.013883168938736,0.1431126116853461,6.0,3.0,1
5,13465.999999999634,0.01803253433643,0.1928067206088521,6.0,3.0,1
6,14914.999999999758,0.022800763104153,0.2432672853202062,6.0,3.0,1
7,16256.000000000104,0.027649819297713,0.2960281752886562,6.0,3.0,1
8,17328.00000000034,0.02921420801395,0.3386041244989777,6.0,3.0,1
9,18299.00000000044,0.032801612150819,0.3814235799781577,6.0,3.0,1
10,19115.000000000036,0.036265328821509,0.4223194780664039,6.0,3.0,1
0,0.0,3.35936239466e-05,-0.0004350916898154,6.0,3.0,1
1,5615.000000000005,0.0035303482975459,0.0272875565685601,6.0,3.0,1
2,8046.99999999998,0.0068721959191586,0.0607305167762059,6.0,3.0,1
3,10179.999999999653,0.010845853147891,0.1030715344035629,6.0,3.0,1
4,12121.000000000038,0.015762882719112,0.1534155070524593,6.0,3.0,1
5,13617.999999999744,0.019897833159871,0.1992561247289747,6.0,3.0,1
6,15071.999999999887,0.024776091465707,0.2522315888985637,6.0,3.0,1
7,16144.000000000122,0.028772386897251,0.2925108112741558,6.0,3.0,1
8,17201.00000000031,0.032993844788254,0.3374318675552202,6.0,3.0,1
9,18081.000000000306,0.036511863225849,0.3776493606659257,6.0,3.0,1
10,18941.000000000236,0.04264624766727,0.4185366741503776,6.0,3.0,1
0,0.0,-0.0001644532372687,0.0002420155979013,5.0,4.0,2
1,20732.99999999994,0.044693770029837,0.4815069131384316,5.0,4.0,2
2,20417.99999999988,0.043194456310849,0.4630144988341075,5.0,4.0,2
3,20127.99999999989,0.04200756214517,0.4498758000739804,5.0,4.0,2
4,19769.00000000044,0.040661823118787,0.4343332735389455,5.0,4.0,2
5,19363.000000000266,0.039470549951232,0.4190631279903228,5.0,4.0,2
6,18926.000000000186,0.038058649812896,0.4012371750671432,5.0,4.0,2
7,18508.00000000036,0.036676566749341,0.3849254980593883,5.0,4.0,2
8,18128.999999999887,0.034779961671618,0.3631499010338189,5.0,4.0,2
9,17619.999999999953,0.033486486692131,0.3458546255026538,5.0,4.0,2
10,17028.00000000032,0.03143209567194,0.3239949059789531,5.0,4.0,2
11,16525.000000000215,0.029599570653491,0.3040460637885007,5.0,4.0,2
12,15944.000000000426,0.027376432688985,0.2809959776516548,5.0,4.0,2
13,15276.999999999596,0.025672997874538,0.2595224259414071,5.0,4.0,2
14,14620.999999999569,0.023322619162289,0.2356582703417477,5.0,4.0,2
15,13745.999999999589,0.021020909813026,0.2089131471493119,5.0,4.0,2
16,12923.000000000353,0.019055097204514,0.1857240325509628,5.0,4.0,2
17,11979.99999999977,0.01651250600089,0.1592647904671014,5.0,4.0,2
18,11021.000000000284,0.014181747088745,0.1338718480944257,5.0,4.0,2
19,9747.999999999583,0.011914409951297,0.1051517019249693,5.0,4.0,2
20,8499.000000000016,0.0096241756699835,0.0797837284393865,5.0,4.0,2
0,0.0,-5.42891793735e-05,-8.66792338097e-05,5.0,4.0,2
1,2863.000000000039,0.000903814532511,0.005574079598783,5.0,4.0,2
2,3924.999999999956,0.0017410893706359,0.0126258806342685,5.0,4.0,2
3,5081.999999999991,0.0028369988315774,0.0222024344316214,5.0,4.0,2
4,6250.999999999969,0.00405540733806,0.0336968684505911,5.0,4.0,2
5,7330.000000000038,0.0054910019086123,0.0462094403454176,5.0,4.0,2
6,8481.99999999996,0.0070987245564008,0.061559037716425,5.0,4.0,2
7,9628.999999999964,0.0091366827228694,0.0801621509886699,5.0,4.0,2
8,10513.00000000016,0.010806021545458,0.094478204593952,5.0,4.0,2
9,11483.00000000045,0.012712369719792,0.1131830487552732,5.0,4.0,2
10,12195.00000000047,0.014453168859129,0.1272956771548796,5.0,4.0,2
11,12964.000000000296,0.016190366702851,0.1451205048093589,5.0,4.0,2
12,13866.99999999979,0.018306722000431,0.1645035053026262,5.0,4.0,2
13,14841.000000000282,0.020796291631188,0.1886935896615562,5.0,4.0,2
14,15878.000000000404,0.023773245234449,0.2149203021183686,5.0,4.0,2
15,16888.999999999676,0.026812091756777,0.2441611847623602,5.0,4.0,2
16,17833.000000000073,0.029673910979274,0.2696817357609887,5.0,4.0,2
17,18698.00000000001,0.03265835243643,0.2972947777647005,5.0,4.0,2
18,19128.00000000046,0.034105589004548,0.3105051896943503,5.0,4.0,2
19,19105.0,0.034078008321712,0.3105084649156949,5.0,4.0,2
20,19094.999999999967,0.033768747347891,0.3087279702749665,5.0,4.0,2
0,0.0,-6.4683336783e-05,-0.0002935620116906,5.0,4.0,2
1,19181.00000000006,0.036002663921448,0.4375092844767174,5.0,4.0,2
2,19023.99999999993,0.034912191270218,0.4270504136388267,5.0,4.0,2
3,18728.999999999927,0.033949258727341,0.4143203528835636,5.0,4.0,2
4,18435.99999999955,0.032667790531848,0.4019579237729704,5.0,4.0,2
5,18082.00000000012,0.031415850821267,0.38862578467908,5.0,4.0,2
6,17753.999999999625,0.030399815035885,0.3735235079991536,5.0,4.0,2
7,17419.000000000447,0.029306113571606,0.3583352976760056,5.0,4.0,2
8,16979.99999999978,0.028232771382904,0.3423031386858509,5.0,4.0,2
9,16577.0,0.026915802968929,0.3275443514836259,5.0,4.0,2
10,16143.00000000031,0.025327927467691,0.3070899595991904,5.0,4.0,2
11,15564.999999999958,0.023713078002381,0.2866781411556852,5.0,4.0,2
12,15069.00000000045,0.022159886994193,0.2691836800214957,5.0,4.0,2
13,14450.999999999967,0.020311822128553,0.2464701850968883,5.0,4.0,2
14,13902.999999999716,0.01895282370117,0.2278565848927819,5.0,4.0,2
15,13201.99999999954,0.016912458865464,0.2042322759453738,5.0,4.0,2
16,12497.000000000113,0.015308741282562,0.1822898223557892,5.0,4.0,2
17,11639.99999999962,0.013220370782993,0.1573827466954566,5.0,4.0,2
18,10554.000000000104,0.011090182477291,0.1291539616767194,5.0,4.0,2
19,9538.999999999956,0.0094773328545598,0.1049281365302218,5.0,4.0,2
20,8254.999999999987,0.0069664907442206,0.0784149229567599,5.0,4.0,2
0,0.0,0.0001347445462093,0.0001467060962447,5.0,4.0,2
1,20451.000000000367,0.043805333184123,0.4707924889006644,5.0,4.0,2
2,20192.000000000284,0.042950192381744,0.4580398439700204,5.0,4.0,2
3,19894.999999999705,0.041382837895297,0.441182951961312,5.0,4.0,2
4,19537.00000000007,0.03991630286472,0.4273356067006368,5.0,4.0,2
5,19150.99999999996,0.038844479870166,0.4154926102832976,5.0,4.0,2
6,18738.99999999996,0.03760245406415,0.4012534567471766,5.0,4.0,2
7,18355.00000000043,0.036332689464455,0.3837887585792294,5.0,4.0,2
8,17895.9999999997,0.034697952932723,0.3635209700417268,5.0,4.0,2
9,17438.999999999553,0.032914575255057,0.3432792884863945,5.0,4.0,2
10,16932.0000000002,0.031134635411456,0.3217551488280606,5.0,4.0,2
11,16343.000000000004,0.029360508421039,0.3011094028124589,5.0,4.0,2
12,15891.999999999683,0.027586583561554,0.2815759182188413,5.0,4.0,2
13,15152.000000000146,0.025436454819805,0.2556854096351456,5.0,4.0,2
14,14447.999999999576,0.023116092750255,0.233017106418104,5.0,4.0,2
15,13712.000000000242,0.021235951958948,0.2122276620874101,5.0,4.0,2
16,12884.000000000036,0.01898046780992,0.1851316508657594,5.0,4.0,2
17,12075.999999999893,0.016722435472517,0.1624958772788261,5.0,4.0,2
18,11015.000000000457,0.014146657761616,0.1336908677154176,5.0,4.0,2
19,9872.999999999993,0.012077418511249,0.1094280264195826,5.0,4.0,2
